,Episode,Average Waiting Time
0,1,10.717877303457243
1,2,0.8106896722750351
2,3,6.462685331927301
3,4,7.959627712507749
4,5,14.162993791010697
5,6,15.0989416283006
6,7,11.549474919842487
7,8,5.495901044971201
8,9,13.368251628872546
9,10,10.100648062434676
10,11,4.652766348674
11,12,4.793198977384865
12,13,5.809099732282301
13,14,5.060865459775643
14,15,8.628547720101706
15,16,8.971820177701815
16,17,7.4023802399195455
17,18,9.475974985682509
18,19,6.360082027829294
19,20,6.795687401840187
20,21,10.77401908359448
21,22,2.839815253350777
22,23,8.049647264915635
23,24,4.876184814885483
24,25,10.565259091229874
25,26,3.9518809280302696
26,27,6.436194580589119
27,28,9.004398511040757
28,29,5.612892084157278
29,30,5.763765672794755
30,31,8.489197839141449
31,32,4.8347119062300665
32,33,5.962201849762458
33,34,5.844391847341042
34,35,9.512812967335657
35,36,7.789677171985266
36,37,5.860305746507929
37,38,4.795311961813421
38,39,8.90406906892518
39,40,7.475841269432641
40,41,9.57550210149285
41,42,9.359993733324934
42,43,7.0212773032412095
43,44,2.275814776691433
44,45,6.732260071086939
45,46,3.230452132985074
46,47,11.768891191083956
47,48,4.824814599941188
48,49,9.299705640420308
49,50,5.79720810378261
50,51,9.460224069048575
51,52,4.055025795208926
52,53,4.096830725341852
53,54,4.878909463464952
54,55,6.013862390723034
55,56,8.025939226156714
56,57,4.738600774347568
57,58,11.216066265247926
58,59,9.802264997782391
59,60,6.665953510483755
60,61,6.476648162113198
61,62,4.799618441771755
62,63,7.395797408823303
63,64,4.727156813873431
64,65,9.4597386635765
65,66,7.386667009013649
66,67,5.470158897643603
67,68,0.8068871996072436
68,69,5.138834624833561
69,70,3.707280407900236
70,71,2.4960198187989353
71,72,7.010873692217447
72,73,5.455622846941073
73,74,6.391678997880211
74,75,9.070252642741536
75,76,10.855962059833164
76,77,5.648980770527407
77,78,4.338602628853802
78,79,3.302557845335124
79,80,5.881055458892208
80,81,7.215638560836188
81,82,6.205207756913761
82,83,15.857254750183833
83,84,6.835909618510621
84,85,8.895117562708396
85,86,4.978783743496903
86,87,13.936513740120557
87,88,5.991425336236531
88,89,13.592239270975572
89,90,9.561926134371966
90,91,10.322383630762376
91,92,3.622647581753268
92,93,5.717968694661407
93,94,11.800125181985747
94,95,3.9442419292973954
95,96,6.275248103494728
96,97,3.643600172965848
97,98,4.921354538707891
98,99,3.0641902730609503
99,100,4.278735888489401
100,101,3.9285796350139237
101,102,4.433528161231136
102,103,2.7431030951194013
103,104,5.56561427376516
104,105,6.186238165856522
105,106,8.468477764060694
106,107,17.788998548254433
107,108,7.471581506211779
108,109,10.303515192577724
109,110,4.698251433520245
110,111,5.725368257592661
111,112,5.004525718988264
112,113,2.9534548259048528
113,114,5.419197696728906
114,115,6.1521517066489855
115,116,5.841577860253936
116,117,7.987256910727512
117,118,8.659868700623775
118,119,4.1909965856724325
119,120,3.8995589126462313
120,121,7.929868643435407
121,122,9.493709743924677
122,123,7.888407469689496
123,124,5.487409736089031
124,125,7.060083810342103
125,126,5.498925378667386
126,127,5.312717968535081
127,128,5.379285643496022
128,129,9.504397695287507
129,130,5.47469065685893
130,131,4.061789571020654
131,132,5.338311595985487
132,133,5.2531362626730145
133,134,3.5674288458848458
134,135,5.380092814434973
135,136,6.25562528431015
136,137,5.429676937109607
137,138,5.594511840193458
138,139,5.446059309858189
139,140,7.561126934047404
140,141,5.447720358391002
141,142,11.01349866138864
142,143,6.992234169182763
143,144,5.499383497412521
144,145,7.618217793511699
145,146,11.93747023362865
146,147,5.494252998159772
147,148,4.397141111984641
148,149,5.519617692637667
149,150,5.558605882368152
150,151,6.318935494374707
151,152,9.004426086784349
152,153,12.447236813279465
153,154,7.109797494049939
154,155,13.5847260565064
155,156,8.693214658930483
156,157,6.94945973572499
157,158,7.352586210368572
158,159,3.5604538758811826
159,160,6.5055308071596585
160,161,4.968164744180602
161,162,5.353272407608013
162,163,5.495175048844775
163,164,6.820582962951635
164,165,6.828719909938684
165,166,13.11184281592332
166,167,5.453512473293229
167,168,10.843259030453092
168,169,5.4559312430705225
169,170,5.371895305297245
170,171,12.641120158479989
171,172,6.741198126002769
172,173,11.680202898990762
173,174,6.01376142410598
174,175,5.430432348132054
175,176,5.418721323667428
176,177,6.9607229781759825
177,178,3.550245792262197
178,179,10.052058610350858
179,180,5.416231136576698
180,181,2.72221588248474
181,182,3.491385036643325
182,183,2.714086792715556
183,184,5.248743209740863
184,185,7.577364716259667
185,186,10.948771746269573
186,187,4.76166483765445
187,188,7.758106662577508
188,189,3.58096779983715
